LabSampleID,FinalID,LifeStageCode,LifeStageName,Distinct,BAResult,TaxonomicQualifier,LabResultPersonnelCode,ExcludedTaxaEntered,ExcludedTaxa,BenthicResultType
19944,Apedilum,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19944,Arrenurus,X,Undefined,0,1,None,"Pickard, D.",NA,NA,Quantitative
19944,Aglaodiaptomus forbesi,X,Undefined,0,1,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19944,Callibaetis,L,Larva,0,21,None,"Pickard, D.",NA,NA,Quantitative
19944,Simocephalus sp.,X,Undefined,0,30,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19944,Coenagrionidae,L,Larva,0,86,I,"Pickard, D.",NA,NA,Quantitative
19944,Corynoneura,L,Larva,0,2,None,"Pickard, D.",NA,NA,Quantitative
19944,Cricotopus,L,Larva,0,4,None,"Pickard, D.",NA,NA,Quantitative
19944,Cyprididae,X,Undefined,0,112,None,"Pickard, D.",NA,NA,Quantitative
19944,Dero,X,Undefined,0,26,None,"Pickard, D.",NA,NA,Quantitative
19944,Dicrotendipes,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19944,Enallagma,L,Larva,0,64,None,"Pickard, D.",NA,NA,Quantitative
19944,Haliplus,A,Adult,0,2,None,"Pickard, D.",NA,NA,Quantitative
19944,Haliplus,L,Larva,0,3,None,"Pickard, D.",NA,NA,Quantitative
19944,Helisoma,X,Undefined,0,63,None,"Pickard, D.",NA,NA,Quantitative
19944,Nais,X,Undefined,0,6,None,"Pickard, D.",NA,NA,Quantitative
19944,Ostracoda,X,Undefined,1,4,None,"Pickard, D.",NA,NA,Quantitative
19944,Oxyethira,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19944,Phaenopsectra,L,Larva,0,4,None,"Pickard, D.",NA,NA,Quantitative
19944,Physa,X,Undefined,0,42,None,"Pickard, D.",NA,NA,Quantitative
19944,Piona,X,Undefined,0,1,None,"Pickard, D.",NA,NA,Quantitative
19944,Tubificidae,X,Undefined,0,5,None,"Pickard, D.",NA,NA,Quantitative
19945,Arctodiaptomus dorsalis,X,Undefined,0,1,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19945,Callibaetis,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19945,Daphnia magna,X,Undefined,0,264,None,"Pickard, D.",NA,NA,Quantitative
19945,Simocephalus sp.,X,Undefined,0,21,None,"Pickard, D.",NA,NA,Quantitative
19945,Alona sp.,X,Undefined,0,2,None,"Pickard, D.",NA,NA,Quantitative
19945,Corisella decolor,A,Adult,0,16,None,"Pickard, D.",NA,NA,Quantitative
19945,Corixidae,L,Larva,0,40,I,"Pickard, D.",NA,NA,Quantitative
19945,Cricotopus,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19945,Acanthocyclops trajani,X,Undefined,0,10,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19945,Macrocyclops albidus,X,Undefined,0,6,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19945,Cyprididae,X,Undefined,0,2,None,"Pickard, D.",NA,NA,Quantitative
19945,Hyalella,X,Undefined,0,61,None,"Pickard, D.",NA,NA,Quantitative
19945,Ostracoda,X,Undefined,0,75,None,"Pickard, D.",NA,NA,Quantitative
19946,Bezzia/ Palpomyia,L,Larva,0,1,None,"Pickard, D.",NA,NA,Quantitative
19946,Arctodiaptomus dorsalis,X,Undefined,0,9,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19946,Daphnia magna ,X,Undefined,0,330,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19946,Simocephalus sp.,X,Undefined,0,7,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
19946,Corisella decolor,A,Adult,0,18,None,"Pickard, D.",NA,NA,Quantitative
19946,Corixidae,L,Larva,0,18,I,"Pickard, D.",NA,NA,Quantitative
19946,Cricotopus,L,Larva,0,2,None,"Pickard, D.",NA,NA,Quantitative
19946,Acanthocyclops trajani,X,Undefined,0,14,None,"Pickard, D.",NA,SAFIT_2006,Quantitative
